


Here is a master list of all CAN ID's that are used in our robot.

Anytime we update the code to use a new motor with a CAN ID, it is expected that we update this list.


-------------------------------- Master List ----------------------------------
+---------+--------------------------+----------------------------------------+
| CAN ID: |          SYSTEM:         |                  FILE                  |
+---------+--------------------------+----------------------------------------+
|    0    |         Not Used         |                                        |
|    3    | Front Left Turning Motor |        SwerveConstants.java            |
|    27   | Front Left Driving Motor |        SwerveConstants.java            | 
|    1    | Front Right Turning Motor|        SwerveConstants.java            |
|    24   | Front Right Driving Motor|        SwerveConstants.java            | 
|    4    | Back Left Turning Motor  |        SwerveConstants.java            |
|    25   | Back Left Driving Motor  |        SwerveConstants.java            | 
|    2    | Back Right Turning Motor |        SwerveConstants.java            |
|    21   | Back Right Driving Motor |        SwerveConstants.java            |
|    9    |         Not Used         |                                        |
|   10    |         Not Used         |                                        |
|   11    |         Not Used         |                                        |
|   12    |         Not Used         |                                        |
|   13    |         Not Used         |                                        |
|   14    |         Not Used         |                                        |
|   15    |         Not Used         |                                        |
|   16    |         Not Used         |                                        |
|   17    |         Not Used         |                                        |
|   18    |         Not Used         |                                        |
|   19    |         Not Used         |                                        |
|   20    |       Pidgeon 2.0        |        SwerveConstants.java            |
|   21    |         Not Used         |                                        |
|   50    |           PDH            |             No File                    |
+---------+------------------+--------------------------------+---------------+
